id,county
72,New York County
79,New York County
82,New York County
83,Kings County
116,New York County
119,Kings County
120,Kings County
127,New York County
128,New York County
137,New York County
143,Kings County
144,Kings County
146,New York County
147,New York County
150,New York County
151,New York County
152,New York County
153,New York County
157,Kings County
160,New York County
161,New York County
164,New York County
167,New York County
168,New York County
173,New York County
174,New York County
195,New York County
212,New York County
216,Kings County
217,Kings County
218,Kings County
223,New York County
224,New York County
225,New York County
228,New York County
229,New York County
232,Kings County
233,Kings County
236,New York County
237,New York County
238,New York County
239,Kings County
241,Kings County
242,Kings County
243,Kings County
244,Kings County
245,Kings County
247,New York County
248,New York County
249,New York County
250,New York County
251,New York County
252,New York County
253,New York County
254,New York County
257,New York County
258,Kings County
259,New York County
260,New York County
261,Kings County
262,Kings County
263,New York County
264,New York County
265,New York County
266,New York County
267,New York County
268,New York County
270,Kings County
271,Kings County
274,Kings County
275,Kings County
276,New York County
278,Kings County
279,New York County
280,New York County
281,New York County
282,Kings County
284,New York County
285,New York County
289,Kings County
290,New York County
291,New York County
293,New York County
294,New York County
295,New York County
296,New York County
297,New York County
298,Kings County
300,New York County
301,New York County
302,New York County
303,New York County
304,New York County
305,New York County
306,New York County
307,New York County
308,New York County
309,New York County
310,Kings County
311,New York County
312,New York County
313,Kings County
314,Kings County
315,New York County
316,New York County
317,New York County
318,New York County
319,New York County
320,New York County
321,Kings County
322,Kings County
323,Kings County
324,Kings County
325,New York County
326,New York County
327,New York County
328,New York County
329,New York County
330,New York County
331,New York County
332,New York County
334,New York County
335,New York County
336,New York County
337,New York County
339,New York County
340,New York County
341,New York County
342,New York County
343,Kings County
344,Kings County
345,New York County
346,New York County
347,New York County
348,New York County
349,New York County
350,New York County
351,New York County
352,New York County
353,Kings County
354,Kings County
355,New York County
356,New York County
357,New York County
358,New York County
359,New York County
360,New York County
361,New York County
362,New York County
363,New York County
364,Kings County
365,Kings County
366,Kings County
367,New York County
368,New York County
369,New York County
372,Kings County
373,Kings County
375,New York County
376,New York County
377,New York County
379,New York County
380,New York County
382,New York County
383,New York County
384,Kings County
385,New York County
386,New York County
387,New York County
388,New York County
389,Kings County
390,Kings County
391,Kings County
392,Kings County
393,New York County
394,New York County
395,Kings County
396,Kings County
397,Kings County
398,Kings County
399,Kings County
400,New York County
401,New York County
402,New York County
403,New York County
404,New York County
405,New York County
406,Kings County
407,Kings County
408,New York County
409,Kings County
410,New York County
411,New York County
412,New York County
414,Kings County
415,New York County
416,Kings County
417,New York County
418,Kings County
419,Kings County
420,Kings County
421,Kings County
422,New York County
423,New York County
426,New York County
427,New York County
428,New York County
430,Kings County
431,Kings County
432,New York County
433,New York County
434,New York County
435,New York County
436,Kings County
437,Kings County
438,New York County
439,New York County
440,New York County
441,New York County
442,New York County
443,Kings County
444,New York County
445,New York County
446,New York County
447,New York County
448,New York County
449,New York County
450,New York County
453,New York County
454,New York County
455,New York County
456,New York County
457,New York County
458,New York County
459,New York County
460,Kings County
461,New York County
462,New York County
463,New York County
464,New York County
465,New York County
466,New York County
467,Kings County
468,New York County
469,New York County
470,New York County
471,Kings County
472,New York County
473,New York County
474,New York County
475,New York County
476,New York County
477,New York County
478,New York County
479,New York County
480,New York County
481,Kings County
482,New York County
483,New York County
484,New York County
485,New York County
486,New York County
487,New York County
488,New York County
489,New York County
490,New York County
491,New York County
492,New York County
493,New York County
494,New York County
495,New York County
496,New York County
497,New York County
498,New York County
499,New York County
500,New York County
501,New York County
502,New York County
503,New York County
504,New York County
505,New York County
507,New York County
508,New York County
509,New York County
510,New York County
511,New York County
512,New York County
513,New York County
514,New York County
515,New York County
516,New York County
517,New York County
518,New York County
519,New York County
520,New York County
521,New York County
522,New York County
523,New York County
524,New York County
525,New York County
526,New York County
527,New York County
528,New York County
529,New York County
530,New York County
531,New York County
532,Kings County
533,New York County
534,New York County
536,New York County
537,New York County
538,New York County
539,Kings County
540,New York County
545,New York County
546,New York County
2000,Kings County
2001,Kings County
2002,Kings County
2003,New York County
2004,New York County
2005,Kings County
2006,New York County
2008,New York County
2009,New York County
2010,New York County
2012,New York County
